RespNum	 Block Num	 Response type	 RT	 
1	 1	  1	 536	 
2	 1	  1	 533	 
3	 1	  1	 300	 
4	 1	  1	 526	 
5	 1	  1	 522	 
6	 1	  1	 495	 
7	 1	  1	 611	 
8	 1	  0	 NaN	 
9	 1	  1	 456	 
10	 1	  0	 NaN	 
11	 1	  0	 NaN	 
12	 1	  2	 NaN	 
13	 1	  0	 NaN	 
14	 1	  1	 352	 
15	 1	  1	 1419	 
16	 1	  0	 NaN	 
17	 1	  1	 1498	 
18	 1	  0	 NaN	 
19	 1	  1	 893	 
20	 1	  0	 NaN	 
21	 2	  0	 NaN	 
22	 2	  1	 1210	 
23	 2	  0	 NaN	 
24	 2	  0	 NaN	 
25	 2	  0	 NaN	 
26	 2	  1	 904	 
27	 2	  0	 NaN	 
28	 2	  0	 NaN	 
29	 2	  0	 NaN	 
30	 2	  0	 NaN	 
31	 2	  1	 931	 
32	 2	  0	 NaN	 
33	 2	  1	 1010	 
34	 2	  1	 617	 
35	 2	  1	 891	 
36	 2	  0	 NaN	 
37	 2	  0	 NaN	 
38	 2	  1	 1036	 
39	 2	  0	 NaN	 
40	 3	  0	 NaN	 
41	 3	  0	 NaN	 
42	 3	  1	 999	 
43	 3	  0	 NaN	 
44	 3	  1	 543	 
45	 3	  1	 303	 
46	 3	  1	 867	 
47	 3	  0	 NaN	 
48	 3	  0	 NaN	 
49	 3	  0	 NaN	 
50	 3	  0	 NaN	 
51	 3	  1	 998	 
52	 3	  1	 735	 
53	 3	  1	 575	 
54	 3	  0	 NaN	 
55	 3	  0	 NaN	 
56	 3	  1	 1081	 
57	 3	  1	 616	 
58	 3	  0	 NaN	 
59	 4	  0	 NaN	 
60	 4	  1	 547	 
61	 4	  1	 538	 
62	 4	  0	 NaN	 
63	 4	  2	 NaN	 
64	 4	  1	 576	 
65	 4	  0	 NaN	 
66	 4	  0	 NaN	 
67	 4	  0	 NaN	 
68	 4	  1	 785	 
69	 4	  2	 NaN	 
70	 4	  0	 NaN	 
71	 4	  1	 1317	 
72	 4	  0	 NaN	 
73	 4	  0	 NaN	 
74	 4	  0	 NaN	 
75	 4	  0	 NaN	 
76	 4	  0	 NaN	 
77	 4	  2	 NaN	 
78	 4	  1	 545	 
79	 4	  1	 1310	 
80	 5	  1	 512	 
81	 5	  1	 624	 
82	 5	  0	 NaN	 
83	 5	  0	 NaN	 
84	 5	  0	 NaN	 
85	 5	  0	 NaN	 
86	 5	  0	 NaN	 
87	 5	  0	 NaN	 
88	 5	  0	 NaN	 
89	 5	  1	 532	 
90	 5	  0	 NaN	 
91	 5	  0	 NaN	 
92	 5	  0	 NaN	 
93	 5	  0	 NaN	 
94	 5	  0	 NaN	 
95	 5	  0	 NaN	 
96	 5	  1	 495	 
97	 5	  0	 NaN	 
98	 5	  0	 NaN	 
99	 6	  0	 NaN	 
100	 6	  0	 NaN	 
101	 6	  0	 NaN	 
102	 6	  0	 NaN	 
103	 6	  0	 NaN	 
104	 6	  0	 NaN	 
105	 6	  0	 NaN	 
106	 6	  0	 NaN	 
107	 6	  0	 NaN	 
108	 6	  0	 NaN	 
109	 6	  0	 NaN	 
110	 6	  0	 NaN	 
111	 6	  0	 NaN	 
112	 6	  2	 NaN	 
113	 6	  0	 NaN	 
114	 6	  0	 NaN	 
115	 6	  0	 NaN	 
116	 6	  0	 NaN	 
117	 6	  2	 NaN	 
118	 6	  0	 NaN	 
119	 6	  0	 NaN	 
120	 6	  0	 NaN	 
121	 7	  0	 NaN	 
122	 7	  0	 NaN	 
123	 7	  1	 591	 
124	 7	  0	 NaN	 
125	 7	  0	 NaN	 
126	 7	  2	 NaN	 
127	 7	  0	 NaN	 
128	 7	  0	 NaN	 
129	 7	  1	 539	 
130	 7	  0	 NaN	 
131	 7	  0	 NaN	 
132	 7	  0	 NaN	 
133	 7	  0	 NaN	 
134	 7	  0	 NaN	 
135	 7	  0	 NaN	 
136	 7	  0	 NaN	 
137	 7	  1	 426	 
138	 7	  1	 645	 
139	 7	  0	 NaN	 
140	 7	  0	 NaN	 
